arm,joint_angles,end_effector_position
psm1,"[0.581279590567714, -0.22494668341623214, 0.14258843138002833, 2.525924627000905, 0.03197293547418974, 0.0340437574532273]","[0.07772344289557687, 0.03292334339542989, -0.11946259307171347]"
psm1,"[0.5190732758561737, 0.27798615820690376, 0.20069998706186773, 2.56262036083165, 0.03197293547418974, 0.034370472357885]","[0.09699580921534379, -0.055773366177598926, -0.17103949482277314]"
psm1,"[0.10012475111547135, -0.38616568104728344, 0.15376118781942635, 2.5020199775340193, 0.032109571950575164, 0.03491248428256885]","[0.013917573211708527, 0.05956456761026875, -0.14507863251420888]"
psm1,"[0.26785398131037474, -0.5005310832276934, 0.22548642120477638, 2.5942835368798933, 0.04003448758092989, 0.028450246973936763]","[0.05252171032741796, 0.11042291680988392, -0.19382045099221135]"
psm1,"[0.21682240742907627, 0.37969406196245775, 0.1426713941845441, 2.879881191036894, 0.044543491301648946, 0.02142462900835284]","[0.02888184587697457, -0.05352317939533151, -0.13311720853890457]"
psm2,"[-0.6936988734051932, -0.34452490526520696, 0.1589735852718941, 1.646485154508642, 0.08170861287848488, -0.25963472493623196]","[-0.09809888920954686, 0.05737455822481285, -0.11586660924997666]"
psm2,"[-0.6239011487170613, 0.1319345351374248, 0.20995811752830013, 1.9008390124326084, 0.18350278778562742, -0.3426410489867646]","[-0.12526259799920933, -0.02367643948609132, -0.1703969992702641]"
psm2,"[-0.19134523396745343, -0.44977752639538504, 0.16442838966880635, 1.807527003548713, 0.1817265135926169, -0.34135597393888284]","[-0.030740634198008876, 0.07641097278671931, -0.1456225354478574]"
psm2,"[0.04079900193930082, -0.4380313060755523, 0.09009501311649162, 1.770202199995155, 0.05602095531802475, -0.24007670097028877]","[0.002847097157487458, 0.04199149811754635, -0.08350304225164559]"
psm2,"[-0.4896575275338574, -0.1362592447883823, 0.2402473189394817, 1.8014459962281897, 0.09181971213100643, -0.2692681867437647]","[-0.11421070989901523, 0.036088100624066095, -0.21202875802137044]"
ecm,"[0.06374160594439791, -0.4969214179815656, 0.12765172360425622, 0.23942672647297983]","[0.06118453727569646, -0.007358851301226864, -0.1125803714687148]"
ecm,"[0.056548667764616284, -0.04268639018065132, 0.19756406302185392, 0.2776957524256282]","[0.008460474538663235, -0.011504098723217107, -0.19774030603449494]"
ecm,"[0.0830427658098902, -0.7707897575582559, 0.18608405183868532, 0.1851305016170855]","[0.13012770746839658, -0.011317045968936401, -0.13350649839950418]"
ecm,"[0.5699569021928332, -0.7354861101135405, 0.19538879021209982, 0.14130101890208646]","[0.13156039084971968, -0.07857800517931088, -0.12230661883424351]"
ecm,"[-0.21418462414317915, -0.26622379745295505, 0.21003705588172472, -0.3270856919029779]","[0.05544097945656712, 0.04286559079545594, -0.19873150234998962]"
