arm,joint_angles,end_effector_position
psm1,"[0.19385511010416984, -0.1096622804349937, 0.1512774888592353, 0.29001380516914543, 0.12408083708670653, 0.16767680687392775, 0.13534871850863447]","[-0.2806154521854297, -0.014188582678202197, 0.34900986371438103]"
psm1,"[0.48381916950506476, -0.22646805448987253, 0.13869177215542797, 0.13615356718162933, 0.011938588649423655, 0.16767680687392775, 0.1350804356176362]","[-0.3159932000681682, -0.031495175242986895, 0.3779745173811072]"
psm1,"[0.4774711135531236, -0.04203463326814582, 0.13873454985150643, 0.1380315474186173, 0.013682427440912503, 0.1637867049544526, 0.13494629417213705]","[-0.3167741502216285, -0.005492844779885111, 0.37445277442650043]"
psm1,"[0.4728606641573707, -0.31477708102326357, 0.13123808268721374, 0.13561700139963276, 0.014889700450404783, 0.1637867049544526, 0.13521457706313533]","[-0.30988136346813006, -0.04125310699096118, 0.3864828207504748]"
psm1,"[0.22712448363332144, -0.3956028153213371, 0.13122900863046982, 0.1376291230821199, 0.014889700450404783, 0.1637867049544526, 0.13521457706313533]","[-0.27962007244425835, -0.05147319251372169, 0.37898569507683755]"
psm2,"[-0.34187602060399547, -0.2727656158425336, 0.17847243692074258, -2.3088425599312354, -0.24051561177996195, 0.02012121682487133, -0.41798474417532705]","[-0.18776548562335738, -0.046094807203809665, 0.33566115910741345]"
psm2,"[-0.5827160119874965, -0.3583794215398815, 0.16769505009661503, -2.3164886223246866, -0.24051561177996195, 0.02012121682487133, -0.41798474417532705]","[-0.15845445335871133, -0.05714356653005662, 0.3674834679807903]"
psm2,"[-0.5903460354431143, -0.2683250657544969, 0.18270094736340603, -2.202200110759417, -0.24051561177996195, 0.02012121682487133, -0.41798474417532705]","[-0.1466943954341854, -0.04681433668698191, 0.35270678681354223]"
psm2,"[-0.5880523947889458, -0.44417084924075084, 0.1684456042187187, -2.1626283843371703, -0.23367439805950568, 0.02012121682487133, -0.41798474417532705]","[-0.16030041060158948, -0.07164971040520102, 0.37235441429184296]"
psm2,"[-0.3774004213082892, -0.4973261644685017, 0.1686854185755221, -2.258271234978059, -0.12837336334267907, 0.026694147654329297, -0.4153019152653442]","[-0.19205024748613575, -0.08097162870413949, 0.3594569437850972]"
ecm,"[0.008148505945248527, -0.5483846326381834, 0.1803904806420547, -0.37484020292081266]","[-0.8726718542979809, 0.0011260091119062818, 0.773004515196183]"
ecm,"[0.016787885742620457, -0.5540853143075098, 0.1295912525627069, -0.4114738004139462]","[-0.876200283872477, 0.003248228311526246, 0.8151195062100518]"
ecm,"[-0.038340520343185434, -0.4137150275543009, 0.1420142391510891, -0.355542147098537]","[-0.8925958423940556, -0.005602361467689745, 0.7417132148016428]"
ecm,"[-0.010773044807935, -0.6685243716992131, 0.12516569753596582, -0.36895266046655906]","[-0.8453208346523997, -0.0030018218639116926, 0.8443125469190067]"
ecm,"[-0.012644910430698918, -0.7716864204614678, 0.15399788492567862, -0.7182801794189395]","[-0.8293678176469239, -0.005184769199490259, 0.9656930498542022]"
