arm,joint_angles,end_effector_position
psm1,"[0.33598360370456587, -0.20314551315792317, 0.19031667355919016, 2.630769580803034, 0.14756739449626033, -0.05776541116016291]","[0.06157244523121662, 0.04180328669922576, -0.17895335754067446]"
psm1,"[0.5637645164813362, 0.2620156232815821, 0.20637256882063393, 2.6255273331129274, 0.14756739449626033, -0.05752037498166963]","[0.10794028161013174, -0.05169298403404633, -0.1723963798042542]"
psm1,"[0.6957144970103716, 0.2971770572830276, 0.09685129650924514, 2.610429659765421, 0.0474128573057429, 0.02096346413287134]","[0.06123919509945999, -0.028785387857094957, -0.07434914589330972]"
psm1,"[-0.21197255446335964, -0.33790655496008093, 0.07509041214352119, 2.5624106709240455, 0.03866812281707562, 0.027767493844635234]","[-0.01623212665304529, 0.026557112893005858, -0.0723664968368358]"
psm1,"[0.4565889440956431, -0.6083321939736143, 0.23697676963021136, 2.5531843149894584, 0.04290385358502384, 0.025293684135029148]","[0.08632656498985154, 0.13798377167887896, -0.17726856640846614]"
psm2,"[-0.37838120367555994, -0.14413639450976917, 0.13356363380129657, 1.7599273945225462, 0.0781560644924638, -0.2656408410877332]","[-0.050755881476910916, 0.022535262906562385, -0.12511092127008328]"
psm2,"[-0.6763459759307262, 0.16510351362110776, 0.20754052955295757, 2.1998568206762816, 0.09072662031992303, -0.2745844268552085]","[-0.13028763599647958, -0.03144121583493882, -0.16271335198014164]"
psm2,"[-0.7165503302930204, -0.29740101546138076, 0.2398428752674673, 1.6928266240891836, 0.13363047390494684, -0.3096513213556914]","[-0.15346126972391752, 0.07441794583827906, -0.17298297618439548]"
psm2,"[-0.39738675805235707, -0.5737345167659543, 0.23862954425142407, 1.4692971825830432, 0.07555997144114071, -0.2449011517142436]","[-0.07970948792708644, 0.13328071940240374, -0.18558225526830258]"
psm2,"[-0.08118870100092174, -0.8455656864160489, 0.05819062960489351, 1.4850239256533626, 0.07555997144114071, -0.25462092012781046]","[-0.004800735482033085, 0.0476458248914715, -0.03871258201884339]"
ecm,"[0.29081984993668514, -0.4904746080570115, 0.16471708640691352, 0.25545392537622574]","[0.07791537082318567, 0.04157445720864844, -0.13985449656901003]"
ecm,"[0.0838739788661525, 0.01314887425221228, 0.1803904806420547, 0.2090077571260029]","[-0.002380754734068153, 0.014868438519953259, -0.18045424618313122]"
ecm,"[-0.40604430549178583, -0.24792402024579452, 0.13084140934992192, 0.2950312940964861]","[0.032277480855834775, -0.0504988671361887, -0.11707331837250687]"
ecm,"[-0.4438285021358981, -0.7698538247468738, 0.1718572676001786, 0.18022421623854082]","[0.12009997545669143, -0.053321242466318974, -0.11181653596104224]"
ecm,"[0.844905164244195, -0.7604617717095794, 0.16185244142592373, 1.0342449577972161]","[0.11203519750856855, 0.08785164873151427, -0.07836042209856992]"
